item,code
http://www.wikidata.org/entity/Q21203,ABW
http://www.wikidata.org/entity/Q889,AFG
http://www.wikidata.org/entity/Q1450765,AFI
http://www.wikidata.org/entity/Q916,AGO
http://www.wikidata.org/entity/Q25228,AIA
http://www.wikidata.org/entity/Q5689,ALA
http://www.wikidata.org/entity/Q222,ALB
http://www.wikidata.org/entity/Q228,AND
http://www.wikidata.org/entity/Q25227,ANT
http://www.wikidata.org/entity/Q878,ARE
http://www.wikidata.org/entity/Q414,ARG
http://www.wikidata.org/entity/Q399,ARM
http://www.wikidata.org/entity/Q16641,ASM
http://www.wikidata.org/entity/Q21590062,ATA
http://www.wikidata.org/entity/Q165783,ATB
http://www.wikidata.org/entity/Q129003,ATF
http://www.wikidata.org/entity/Q781,ATG
http://www.wikidata.org/entity/Q189999,ATN
http://www.wikidata.org/entity/Q408,AUS
http://www.wikidata.org/entity/Q40,AUT
http://www.wikidata.org/entity/Q227,AZE
http://www.wikidata.org/entity/Q967,BDI
http://www.wikidata.org/entity/Q31,BEL
http://www.wikidata.org/entity/Q962,BEN
http://www.wikidata.org/entity/Q27561,BES
http://www.wikidata.org/entity/Q965,BFA
http://www.wikidata.org/entity/Q902,BGD
http://www.wikidata.org/entity/Q219,BGR
http://www.wikidata.org/entity/Q398,BHR
http://www.wikidata.org/entity/Q778,BHS
http://www.wikidata.org/entity/Q225,BIH
http://www.wikidata.org/entity/Q25362,BLM
http://www.wikidata.org/entity/Q184,BLR
http://www.wikidata.org/entity/Q242,BLZ
http://www.wikidata.org/entity/Q23635,BMU
http://www.wikidata.org/entity/Q750,BOL
http://www.wikidata.org/entity/Q155,BRA
http://www.wikidata.org/entity/Q244,BRB
http://www.wikidata.org/entity/Q921,BRN
http://www.wikidata.org/entity/Q917,BTN
http://www.wikidata.org/entity/Q23408,BVT
http://www.wikidata.org/entity/Q963,BWA
http://www.wikidata.org/entity/Q2895,BYS
http://www.wikidata.org/entity/Q929,CAF
http://www.wikidata.org/entity/Q16,CAN
http://www.wikidata.org/entity/Q36004,CCK
http://www.wikidata.org/entity/Q39,CHE
http://www.wikidata.org/entity/Q298,CHL
http://www.wikidata.org/entity/Q148,CHN
http://www.wikidata.org/entity/Q1008,CIV
http://www.wikidata.org/entity/Q1009,CMR
http://www.wikidata.org/entity/Q974,COD
http://www.wikidata.org/entity/Q971,COG
http://www.wikidata.org/entity/Q26988,COK
http://www.wikidata.org/entity/Q739,COL
http://www.wikidata.org/entity/Q970,COM
http://www.wikidata.org/entity/Q1011,CPV
http://www.wikidata.org/entity/Q800,CRI
http://www.wikidata.org/entity/Q33946,CSK
http://www.wikidata.org/entity/Q2618621,CTE
http://www.wikidata.org/entity/Q241,CUB
